"Date","M001","M002","M003","M004","M005","M006","M007","M008","M009","M010","M011","M012"
2015-04-07,0,0,0,2.4,2.6,0,0.8,0,0,0.4,0.1,0
2015-04-08,0,0,0,0,0,0.5,0,0.3,0.1,0.3,0.1,0
2015-04-09,0,0,0,0.8,2.4,0,1.1,0.1,0,0,0,0
2015-04-10,0.1,0,0,1.8,3,0,1.2,0.3,0,0.2,0,0
2015-04-11,0,0,2.3000001,3.2,2.9,0.4,2.6,1,0,0,0,0
2015-04-12,0,0.1,0.2,0.1,1.9,0.8,3.2000001,0.5,0.5,0.1,0,0
2015-04-13,0,0,0.1,0.1,0.2,0.1,0.2,0.1,0,0,0,0
2015-04-14,2.1,2,2.3,NA,6.4,1.9,1.6,2.5,2.5,4,0.8,2.4
2015-04-15,1.9,8.3,3,0,2.4,2.8000001,1.9,0.3,2.2,3.4,7.7000001,6.8
2015-04-16,16.5,5.4,1.4,14.6,4.2,3.1,1.9,14.6,0.5,13.3,11.2000003,1.9
2015-04-17,18.9,32.4000001,8.4,7.4,NA,15.1000002,2.8,9.4,18.2999991,16.9,6.4000001,2.7
2015-04-18,0.3,2.9,0.2,0,1.6,0,3.4,0.3,0.2,0.1,0.1,0.4
2015-04-19,13.3,0,7.199999,0.6,0.1,0.1,1.6,2.2,0,0.3,3.6000001,0
2015-04-20,18.9,0,0.3,13.1,0.5,0,0.1,32.5,20.299998,26.1,4.1,17
2015-04-21,0.8,0.8,0.6,4.8,6.1,0,6.3000001,0.9,0.4,0.7,0.1,0.6
2015-04-22,0,0,0,1.1,1.1,0,0.7,0.2,0.1,0,0.1,0
2015-04-23,0.2,0,0.6,1,NA,0,3.7,0.4,0.1,1.9,0,0
2015-04-24,6.6,1,1.1,4.6,NA,0,6.7,6.9,1.9,1.9,1.8,3.5
2015-04-25,5.3,4.0000001,4,5.6,7.4,0,4.3,4.3,5.3,3.2,4.6,6.7
2015-04-26,5.1,2,1.9,12.7,NA,0,NA,6.4,3.7,13.1,1.9,3.4
2015-04-27,0.7,0.3,0.5,2,NA,0,1,0.7,0.4,0.9,0.2,0.3
2015-04-28,0.9,1.2,0,2.6,2.3,0,0.7,3.1,1.3000001,5.3,0.1,1.3
2015-04-29,7.9,0.7,0,1.6,5.5,0.7,1.1,5.6,1.5000001,1.3,9.4,0.8
2015-04-30,0.1,0.1,0,0,1.4,0,0.7,0.4,0,0.3,0,0
2015-05-01,0.2,1.4,0.6,0,0.8,2.9,0.1,0.7,1.7,0,0,1.9
2015-05-02,0,0,0,0,0.4,0,0.5,0,0,0,0,0
2015-05-03,16.4,NA,8.3000001,NA,NA,13.7000001,7.4000001,5.5,11,NA,31.3000002,6.7
2015-05-04,24.2,0.1,12.299999,11.2,2.2,7.6,4.3,10.5,0.1,0.8,29.8999996,0.7
2015-05-05,0,0,0.1,0.3,1,0,0.4,0,0,0,0,0
2015-05-06,0,0,0.2,NA,0,0,0,NA,0,NA,0,0
